"","game_id","temp","home_team","away_team","total","season","season_type","total_line","Home_Off_EPA","Away_Off_EPA","Home_Def_EPA","Away_Def_EPA"
"1","1999_01_ARI_PHI",75,"PHI","ARI",49,1999,"REG",37,-0.196024497010181,-0.196485699961533,-0.118400876980923,-0.00356396013036691
"2","1999_01_BUF_IND",70,"IND","BUF",45,1999,"REG",45.5,0.0532506536760625,-0.0200859727965251,-0.0346917887928632,-0.164175830394738
"3","1999_01_CAR_NO",70,"NO","CAR",29,1999,"REG",38,-0.134665779881997,0.0115559488463279,-0.00342001791679179,0.0501524852186217
"4","1999_01_CIN_TEN",84,"TEN","CIN",71,1999,"REG",42,0.0089118740477988,-0.0765610322310608,-0.0391387146349858,0.0406865938569526
"5","1999_01_DAL_WAS",71,"WAS","DAL",76,1999,"REG",42,0.0763603862294098,-0.0167078154131911,-0.0021484395923787,-0.103409599510719
"6","1999_01_DET_SEA",70,"SEA","DET",48,1999,"REG",42,-0.088355051425911,-0.066410792902094,-0.0750516760766315,-0.0706411806641206
"7","1999_01_KC_CHI",80,"CHI","KC",37,1999,"REG",38,-0.0816906338478077,-0.00875096830323809,-0.0117423473227055,-0.15516087519915
"8","1999_01_MIA_DEN",60,"DEN","MIA",59,1999,"REG",43,-0.0476760724568105,-0.124326538966527,-0.0718048381223878,-0.119362696357513
"9","1999_01_MIN_ATL",70,"ATL","MIN",31,1999,"REG",49,-0.116601109884423,0.0101292350753879,0.0035041812073711,-0.0179583103388012
"10","1999_01_NE_NYJ",73,"NYJ","NE",58,1999,"REG",44.5,-0.0361453822069057,-0.118039304503421,-0.0435381647914199,-0.0991727880793192
"11","1999_01_NYG_TB",88,"TB","NYG",30,1999,"REG",37.5,-0.153246261216447,-0.0944093281821133,-0.160538956522843,-0.0585346439234138
"12","1999_01_OAK_GB",67,"GB","LV",52,1999,"REG",43,-0.0359459460353718,0.0409182483943874,-0.0371942989071864,-0.0696037966147988
"13","1999_01_PIT_CLE",78,"CLE","PIT",43,1999,"REG",37,-0.128421866084313,-0.0716650613963292,0.0958401521270922,-0.0592910040589442
"14","1999_02_ARI_MIA",82,"MIA","ARI",35,1999,"REG",41,-0.124326538966527,-0.196485699961533,-0.119362696357513,-0.00356396013036691
"15","1999_02_ATL_DAL",86,"DAL","ATL",31,1999,"REG",42,-0.0167078154131911,-0.116601109884423,-0.103409599510719,0.0035041812073711
"16","1999_02_CLE_TEN",86,"TEN","CLE",35,1999,"REG",40,0.0089118740477988,-0.128421866084313,-0.0391387146349858,0.0958401521270922
"17","1999_02_DEN_KC",69,"KC","DEN",36,1999,"REG",40.5,-0.00875096830323809,-0.0476760724568105,-0.15516087519915,-0.0718048381223878
"18","1999_02_GB_DET",70,"DET","GB",38,1999,"REG",43,-0.066410792902094,-0.0359459460353718,-0.0706411806641206,-0.0371942989071864
"19","1999_02_IND_NE",68,"NE","IND",59,1999,"REG",45,-0.118039304503421,0.0532506536760625,-0.0991727880793192,-0.0346917887928632
"20","1999_02_JAX_CAR",74,"CAR","JAX",42,1999,"REG",44,0.0115559488463279,0.0509792097802891,0.0501524852186217,-0.141786930850859
"21","1999_02_NYJ_BUF",68,"BUF","NYJ",20,1999,"REG",42,-0.0200859727965251,-0.0361453822069057,-0.164175830394738,-0.0435381647914199
"22","1999_02_OAK_MIN",70,"MIN","LV",39,1999,"REG",47.5,0.0101292350753879,0.0409182483943874,-0.0179583103388012,-0.0696037966147988
